id,adult,backdrop_path,genre_ids,vote_count,original_language,original_title,poster_path,title,video,vote_average,popularity,overview,release_date
245508,FALSE,/yN5w9pJX2ukPZgVy1KOaag2jP7o.jpg,"c(18, 10751, 10749, 10770)",20,en,Christmas in the City,/vEKNYsmCDksLdCyLNFnJAbgLgDt.jpg,Christmas in the City,FALSE,5.5,5.353,"With the threat of having to close her father's candy store, Wendy and her six-year-old daughter Grace travel to the big city in hopes of making extra holiday cash to save the store. When she's offered a job in the toy department of Wolmans, the city's biggest department store, Wendy can't wait! Her excitement doesn't last long when the store's manager, Teanna, destroys the Christmas spirit throughout the store and replaces Santa with a hunky male underwear model surrounded by elfin ""babes."" What Teanna is unaware of is that she has in fact sacked the real Santa. Unaware of his real ""Santa"" status, Wendy reaches out to the old man but it seems even he has given up hope. With her daughter losing faith in the holiday, Wendy realizes she must bring the true meaning of Christmas back to Wolmans before it is too late.",2013-12-25
369060,FALSE,NA,"c(18, 10749, 10752, 10770)",17,en,A Christmas Truce,/2vjC5Xt9JbYGUvestMn5SZduRs.jpg,A Christmas Truce,FALSE,6.4,4.515,"During a shaky 24-hour holiday truce amid the Battle of the Bulge, American Captain John Myers and a Belgian farm girl, Alina, fall in love. Forced to separate when fighting resumes, the couple vows to reunite, under a bell tower, the first Christmas Eve after the war ends, if each is alive and eager.",2015-12-12
46526,FALSE,/6119f76QMrngLAkKBt3Xx1XkTPf.jpg,"c(18, 10749, 10770)",23,en,The Christmas Card,/6FlOu0bfJJQAMSAhZXPWUVq2UEA.jpg,The Christmas Card,FALSE,7,6.934,"Sergeant Cody Cullen is deeply touched by an homemade Christmas card he receives while serving in Afghanistan. Upon his discharge, he treks to the picturesque California town of Nevada City. Cody is soon welcomed into the Spelman home and unexpectedly falls in love with the woman who sent the card, Faith.",2006-12-02
639422,FALSE,/ynOyFWmaL1zXgGg8mPPMv26ezcx.jpg,"c(10749, 10770)",16,en,"Same Time, Next Christmas",/rxnyJpZpL6nAQKhs13hX0MvztmO.jpg,"Same Time, Next Christmas",FALSE,7,4.771,"Olivia Anderson is a successful young woman who met her childhood sweetheart during her family’s annual Christmas visit to Hawaii. After being separated by distance and years, the two reunite at the same Hawaiian resort years later, and the old chemistry between them flares up anew—but circumstances conspire to keep them apart.",2019-12-05
26319,FALSE,/mFBmZtS7j9jFEP06hHzntKzX1LN.jpg,"c(35, 10749)",36,en,The Man Who Came to Dinner,/mJEpzLKbefV83za7Dh5y2iqIHQ5.jpg,The Man Who Came to Dinner,FALSE,6.7,3.318,An acerbic critic wreaks havoc when a hip injury forces him to move in indefinitely with a Midwestern family.,1942-01-01
31083,FALSE,/mYk2A5jApkffQkfJ7h3EMtmp0DY.jpg,"c(35, 18, 10749)",31,en,Some Girls,/iZz3RKDstcniOSyo0yFr2DP9liB.jpg,Some Girls,FALSE,5.1,5.165,"While on Christmas break, college student Michael journeys to Quebec City to spend time with his attractive girlfriend, Gabriella. Not long after he arrives, Gabriella breaks up with him, but her two equally gorgeous sisters waste no time showing romantic interest. In the meantime, Michael is left to deal with Gabriella's eccentric grandmother and offbeat father, an academic who spends most of his time naked.",1988-09-09
652786,FALSE,/v8o98bKM8fH4aaLXAY6jKaBFo4W.jpg,10749,3,en,A Very British Christmas,/ArZINP0eV8GQKzbQt7phdbx72x7.jpg,A Very British Christmas,FALSE,8,4.121,Opera singer Jessica's flight to her concert in Vienna gets delayed and she is stuck in a remote area of England. The only place to stay is a bed-and-breakfast in an enchanting village run by a handsome widower named Andrew.,2019-11-23
550073,FALSE,/v0w9oNzDahImv3MD0OyYdUT70R5.jpg,"c(10751, 10749, 10770)",16,en,Hope at Christmas,/ylrt2AjyunjjsU4ZQQeTNaJH41H.jpg,Hope at Christmas,FALSE,7.1,5.736,"Sydney Ragsdale, recently divorced, decides to spend Christmas in a house she inherited with her young daughter. As Sydney begins to spend more time at the local bookstore, she meets a teacher, Mac, who also fills in for the town Santa. Mac tries to make Christmas wishes come true, and this year Sydney is at the top of his ‘nice’ list. As a new opportunity with the bookstore unfolds, Mac helps Sydney open herself up to life, love, and believing in the spirit of Christmas again.",2018-11-20
629985,FALSE,/Ag1ifCsM2k1g6ZW82rX9kl3aWh5.jpg,"c(10749, 10770)",13,en,Christmas Under the Stars,/zjNW72nSDBNYduhD1wf0EBWVhNl.jpg,Christmas Under the Stars,FALSE,6,6.797,"When Nick is fired from his high-powered investment firm at Christmastime, he takes a job at a Christmas tree lot. There, he meets Julie, an astronomy teacher who’s always looked to the stars for hope. As the Christmas spirit washes over him—and he begins falling for Julie—the once self-centered Nick discovers the joy of helping others.",2019-11-16
421623,FALSE,/aDdOl7moeoOv99fZGiMhksoyz4c.jpg,"c(18, 10749, 10751, 10770)",36,en,A Nutcracker Christmas,/ivwinAszWqxsi3WwwdLOKmhz3Ad.jpg,A Nutcracker Christmas,FALSE,6.4,6.783,"When her niece is cast in The Philadelphia Ballet’s production of the Nutcracker, a jaded ex-ballerina is forced to come to terms with the life and love she left behind.",2016-12-10
421628,FALSE,/rSK14QXt6TZmGnPWB8Lpt1AqwHn.jpg,"c(18, 10770, 10749)",26,en,A Rose for Christmas,/vnyZQbJ3iy01Jliaz43gTvLi5qs.jpg,A Rose for Christmas,FALSE,5.4,5.767,"Andy is a passionate artist whose family has been building Rose Parade floats for generations. When her Dad gets sick, Andy is forced to take the helm and supervise the construction and decoration of their client's float. And to make matters worse, she's saddled with the extra challenge of dealing with a demanding businessman Cliff, whose company commissioned the float.",2017-01-01
240820,FALSE,/7RTgv0iIeHSJUQTXiMwVt2NcqJa.jpg,"c(18, 10749, 10770)",24,en,Christmas in Conway,/7aHxp9CrvxuWbGWO1BmYdFpk0Fo.jpg,Christmas in Conway,FALSE,5.8,6.759,"Duncan Mayor decides the perfect Christmas present for his terminally ill wife, Suzy, is a ride on a real Ferris wheel, set up in their very own back yard. As a young man, it was the perfect place for a wedding proposal. Now, years later, in order to relive the experience with his wife, Duncan will go to any length to make their fantasy become a reality.",2013-12-01
653402,FALSE,/63NZWTInpcReQ2oHushFCT7QpCj.jpg,"c(35, 10749)",1,en,A Holiday Boyfriend,/oOJu2wVRE6LnzGhzVVL2HsbgKWJ.jpg,A Holiday Boyfriend,FALSE,8,6.301,Katie gets dumped right before Christmas and gets on a dating app determined to never spend another Christmas alone! But it will take more than an app and the advice of friends to help this girl find true love. It'll take a Christmas Miracle!,2019-12-03
475829,FALSE,/xdSy4hVQ1cCqDrdRlp0pNwWkg15.jpg,"c(18, 10770, 10749)",38,en,The Mistletoe Inn,/t7xTfmhUBNxk1iqDiduRoqDhun.jpg,The Mistletoe Inn,FALSE,6.2,6.576,"When aspiring romance novelist Kim Rossi is unceremoniously dumped by her soon-to-be-published romance novelist boyfriend, Kim takes stock and decides to take a leap. She signs up for a romance writing retreat at a quaint Vermont Inn shortly before Christmas, where a top romance novelist is scheduled to attend and read the work of one lucky writer. Shortly after arriving, she crosses paths with Zeke, whom she initially finds to be intrusive and, naturally, ends up being her assignment partner. Worse yet, her ex is also at the retreat. Despite these bumps in the road, Kim steps outside her comfort zone and plunges into the writing exercises, surprising herself. Equally unexpected is the attraction that seems to be building between her and Zeke that promises to take her down a road she never imagined traveling. Based on the book by Richard Paul Evans.",2017-11-23
249043,FALSE,NA,"c(35, 10749, 10770)",9,en,Holiday Road Trip,/cRfz43odBVeVUZyI3DMsYamtdQH.jpg,Holiday Road Trip,FALSE,5.2,5.995,"Ashley Scott plays an executive for a company that produces pet supplies. Just after getting into a fight with her boyfriend about their relationship status, she takes up with the company's mascot and the company president's son on a road trip across America at Christmastime in an effort to get home for the holiday season.",2013-12-01
639409,FALSE,/4yKbLyqLe6wiFgoiztrVGxMLDUW.jpg,"c(10749, 10770)",7,en,Time for You to Come Home for Christmas,/pHZEFRlk5iAuMqsD6lQxUYg68GI.jpg,Time for You to Come Home for Christmas,FALSE,6.4,5.229,"A recent widow travels with her son to Virginia hometown for Christmas. On the way they meet a man who is also heading to the same destination. As they continue to spend time together, the pair grows closer.",2019-12-08
656676,FALSE,/xaLq6e5IYSMSkX84MuBAL4IBMMp.jpg,"c(10749, 14, 80, 878, 9648)",0,en,A Mermaid for Christmas,/v8mskmoqzkJx825YxNt8ItxGIY4.jpg,A Mermaid for Christmas,FALSE,0,4.761,"Filled with warmth, humor, whimsy, and just a touch of magic, A Mermaid for Christmas combines classic Christmas themes with an escapist fantasy element that only a mermaid can provide!",2019-11-22
551603,FALSE,/rko9Scr6jQ8McmBWwRuq8nC85Dt.jpg,"c(10749, 10770)",45,en,My Christmas Inn,/nk5ksh9hxPhSWcnwYjiZ0ZuvgVe.jpg,My Christmas Inn,FALSE,6.3,3.834,"With the holiday season in full swing, Jen Taylor is about to score a big promotion at the San Francisco ad agency where she works. But her life is unexpectedly turned upside down when she inherits a cozy inn in Alaska from her aunt. When she goes to inspect the property and meets handsome town attorney Steve Anderson, she's surprised to find that nothing is what she expected. The small town community is full of fun and festive Christmas traditions and soon, Jen starts wondering if the inn might just be the place she belongs, and if Steve could be the Mr. Right she has been waiting for.",2018-11-21
